Country,Year,AnnualMeanTemp,TempVolatility,iso_code,population,gdp,co2,co2_per_capita,cumulative_co2,ghg_per_capita,greenhouse_gas,gdp_per_capita,carbon_intensity_elec,electricity_generation,CoalShare,GasShare,NuclearShare,HydroShare,SolarShare,WindShare,RenewablesShare,Low_carbonShare
Albania,2000,17.320525136087095,7.508456712766279,ALB,3166147.0,14736835655.0,3.025,0.955,197.046,2.25,7.124,4654.501403440839,48.63,4.73,0.0,0.0,0.0,96.19450317124735,0.0,0.0,96.19450317124735,96.19450317124735
Albania,2001,16.242,7.362590508350366,ALB,3147943.0,16103903904.0,3.221,1.023,200.266,2.288,7.202,5115.691073186522,51.49,3.69,0.0,0.0,0.0,95.39295392953929,0.0,0.0,95.39295392953929,95.39295392953929
Albania,2002,17.38959212376934,6.093743095618101,ALB,3134095.0,17037279441.0,3.748,1.196,204.015,2.458,7.704,5436.108171896512,62.0,3.71,0.0,0.0,0.0,93.80053908355795,0.0,0.0,93.80053908355795,93.80053908355795
Albania,2003,17.58602646968298,8.071985997553076,ALB,3118093.0,18171076149.0,4.303,1.38,208.318,2.837,8.847,5827.624817155871,36.33,5.23,0.0,0.0,0.0,97.89674952198853,0.0,0.0,97.89674952198853,97.89674952198853
Albania,2004,16.402130898021312,6.707316777571376,ALB,3098662.0,19346601376.0,4.177,1.348,212.495,2.49,7.716,6243.533943360069,39.64,5.55,0.0,0.0,0.0,97.47747747747748,0.0,0.0,97.47747747747748,97.47747747747748
Albania,2005,16.006274869911234,7.2266068862236414,ALB,3076156.0,20562850324.0,4.261,1.385,216.756,3.555,10.937,6684.592824291096,33.4,5.39,0.0,0.0,0.0,98.70129870129871,0.0,0.0,98.70129870129871,98.70129870129871
Albania,2006,15.486034376918354,6.864351346940431,ALB,3050805.0,21889974405.0,3.911,1.282,220.667,2.755,8.405,7175.147020212698,35.71,5.04,0.0,0.0,0.0,98.21428571428572,0.0,0.0,98.21428571428572,98.21428571428572
Albania,2007,16.29410866910867,6.927819908869808,ALB,3022887.0,23259283502.0,4.004,1.324,224.671,3.796,11.476,7694.393969076581,42.4,2.83,0.0,0.0,0.0,97.52650176678445,0.0,0.0,97.52650176678445,97.52650176678445
Albania,2008,15.923992673992675,6.629863901341823,ALB,2992933.0,25006230217.0,4.448,1.486,229.119,3.517,10.527,8355.091883780893,23.94,3.76,0.0,0.0,0.0,100.0,0.0,0.0,100.0,100.0
Albania,2009,16.19790704832256,6.692801036891965,ALB,2961487.0,25821550979.0,4.37,1.476,233.489,3.118,9.234,8719.11677444473,23.08,5.2,0.0,0.0,0.0,100.0,0.0,0.0,100.0,100.0
Albania,2010,15.871537290715374,6.350051521827525,ALB,2928731.0,26747818608.0,4.817,1.645,238.306,3.196,9.359,9132.903844019816,23.78,7.57,0.0,0.0,0.0,100.0,0.0,0.0,100.0,100.0
Albania,2011,15.510350076103503,7.023772527861535,ALB,2911499.0,27431048326.0,5.175,1.778,243.481,3.376,9.83,9421.623818520975,33.41,4.19,0.0,0.0,0.0,98.56801909307875,0.0,0.0,98.56801909307875,98.56801909307875
Albania,2012,15.733181126331813,7.676058217633544,ALB,2910003.0,27819814441.0,4.93,1.694,248.411,3.3,9.602,9560.06383532938,23.31,4.72,0.0,0.0,0.0,100.0,0.0,0.0,100.0,100.0
Albania,2013,15.785083713850838,6.513810510890805,ALB,2907571.0,28098562696.0,5.346,1.839,253.757,3.425,9.96,9663.930028191917,24.43,6.96,0.0,0.0,0.0,100.0,0.0,0.0,100.0,100.0
Albania,2014,15.918345543345545,5.664269293924912,ALB,2903748.0,28597169040.0,6.072,2.091,259.83,3.734,10.844,9848.36461015212,23.31,4.72,0.0,0.0,0.0,100.0,0.0,0.0,100.0,100.0
Albania,2015,16.091269841269842,7.477654902184057,ALB,2898634.0,29231663899.0,4.712,1.626,264.542,3.495,10.131,10084.63431361117,23.77,5.89,0.0,0.0,0.0,100.0,0.0,0.0,100.0,100.0
